SampleID	Profile	Batch	Soil	Time	Replicate	CollectionDate	Status	Freezer_Box	Yield1	Yield2	Yield
WUA_VN59	ViromeN	A	JepsonBot	240	2	12-08-2020	Dry	2	1.54	1.52	1.53
WUA_VN60	ViromeN	A	JepsonBot	240	3	12-08-2020	Dry	2	1.32	1.31	1.315
WUB_VN01	ViromeN	B	Hopland	0	1	01-07-2021	Dry	1	3.92	3.89	3.905
WUB_VN02	ViromeN	B	Hopland	0	2	01-07-2021	Dry	1	3.87	3.87	3.87
WUB_VN03	ViromeN	B	Hopland	0	3	01-07-2021	Dry	1	3.91	3.91	3.91
WUB_VN04	ViromeN	B	McLaughlin	0	1	01-07-2021	Dry	1	2.73	2.73	2.73
WUB_VN05	ViromeN	B	McLaughlin	0	2	01-07-2021	Dry	1	2.88	2.88	2.88
WUB_VN06	ViromeN	B	McLaughlin	0	3	01-07-2021	Dry	1	3.63	3.63	3.63
WUB_VN07	ViromeN	B	Hopland	24	1	01-09-2021	Wet	1	1.73	1.7	1.715
WUB_VN08	ViromeN	B	Hopland	24	2	01-09-2021	Wet	1	1.35	1.34	1.345
WUB_VN09	ViromeN	B	Hopland	24	3	01-09-2021	Wet	1	1.38	1.36	1.37
WUB_VN10	ViromeN	B	McLaughlin	24	1	01-09-2021	Wet	1	1.54	1.42	1.48
WUB_VN11	ViromeN	B	McLaughlin	24	2	01-09-2021	Wet	1	2.09	2.08	2.085
WUB_VN12	ViromeN	B	McLaughlin	24	3	01-09-2021	Wet	1	2.11	2.15	2.13
WUA_TM01	TotalMG	A	JepsonTop	0	1	11-29-2020	Dry	1	36	35.1	35.55
WUA_TM02	TotalMG	A	JepsonTop	0	2	11-29-2020	Dry	1	35.6	34.6	35.1
WUA_TM03	TotalMG	A	JepsonTop	0	3	11-29-2020	Dry	1	41.8	40.2	41
WUA_TM04	TotalMG	A	JepsonBot	0	1	11-29-2020	Dry	1	34.8	34.7	34.75
WUA_TM05	TotalMG	A	JepsonBot	0	2	11-29-2020	Dry	1	38.6	38.2	38.4
WUA_TM06	TotalMG	A	JepsonBot	0	3	11-29-2020	Dry	1	38.6	38.4	38.5
WUA_TM19	TotalMG	A	JepsonTop	24	1	11-30-2020	Wet	1	43.1	42.2	42.65
WUA_TM20	TotalMG	A	JepsonTop	24	2	11-30-2020	Wet	1	39.3	38.8	39.05
WUA_TM21	TotalMG	A	JepsonTop	24	3	11-30-2020	Wet	1	48	47.2	47.6
WUA_TM22	TotalMG	A	JepsonBot	24	1	11-30-2020	Wet	1	32	31.8	31.9
WUA_TM23	TotalMG	A	JepsonBot	24	2	11-30-2020	Wet	1	30.4	29.9	30.15
WUA_TM24	TotalMG	A	JepsonBot	24	3	11-30-2020	Wet	1	33	32.1	32.55
WUA_TM25	TotalMG	A	JepsonTop	48	1	12-01-2020	Wet	1	42.1	42.4	42.25
WUA_TM26	TotalMG	A	JepsonTop	48	2	12-01-2020	Wet	1	47.5	45.8	46.65
WUA_TM27	TotalMG	A	JepsonTop	48	3	12-01-2020	Wet	1	45.7	44.7	45.2
WUA_TM28	TotalMG	A	JepsonBot	48	1	12-01-2020	Wet	1	41.7	41.8	41.75
WUA_TM29	TotalMG	A	JepsonBot	48	2	12-01-2020	Wet	1	41	40.1	40.55
WUA_TM30	TotalMG	A	JepsonBot	48	3	12-01-2020	Wet	1	40	39.9	39.95
